,X,Phylum,Family,read_count_Church,read_count_Wells,fill_color
1,1, Acidobacteriota, Blastocatellaceae_430966,83,258,#46862d
2,2, Acidobacteriota, Bryobacteraceae,3,19,#847deb
3,3, Acidobacteriota, Pyrinomonadaceae_426821,17,65,#acb839
4,4, Acidobacteriota, Pyrinomonadaceae_431435,12,11,#472b87
5,5, Acidobacteriota, SbA1,0,37,#35da85
6,6, Acidobacteriota, UBA7656,8,66,#9d3999
7,7, Actinobacteriota, Ilumatobacteraceae,0,16,#92c857
8,8, Actinobacteriota, Kineosporiaceae,86,183,#5858be
9,9, Actinobacteriota, Microbacteriaceae,298,54,#81c86a
10,10, Actinobacteriota, Micromonosporaceae,10,23,#c076db
11,11, Actinobacteriota, Mycobacteriaceae,150,118,#4dc172
12,12, Actinobacteriota, Nocardioidaceae,2,23,#df73d1
13,13, Actinobacteriota, SZUA-35,26,86,#6a8f23
14,14, Actinobacteriota, Sporichthyaceae,12,0,#744ea6
15,15, Bacteroidota, ,0,17,#d09c2e
16,16, Bacteroidota, Chitinophagaceae_966727,8,124,#5488e3
17,17, Bacteroidota, Cyclobacteriaceae_900466,3,13,#c96724
18,18, Bacteroidota, Flavobacteriaceae,16,39,#3ba7e5
19,19, Bacteroidota, Marinilabiliaceae,14739,8596,#c54530
20,20, Bacteroidota, Saprospiraceae,36,28,#34dfda
21,21, Bacteroidota, Spirosomaceae,6,178,#d24046
22,22, Bacteroidota, Weeksellaceae,0,13,#3acd97
23,23, Bdellovibrionota_E, ,0,18,#b32069
24,24, Bdellovibrionota_E, SG-bin7,11,15,#8ad086
25,25, Chloroflexota, Caldilineaceae,73,72,#702069
26,26, Cyanobacteria, ,14,220,#62bd85
27,27, Cyanobacteria, CACIAM-69d,7,14,#c652a1
28,28, Cyanobacteria, Coleofasciculaceae_23353,255,339,#288753
29,29, Cyanobacteria, Leptolyngbyaceae,0,19,#e45593
30,30, Cyanobacteria, Microcoleaceae,0,28,#387836
31,31, Cyanobacteria, Microcystaceae_A_24131,681,0,#d6496e
32,32, Cyanobacteria, Nostocaceae_26365,46,21,#47b795
33,33, Cyanobacteria, Nostocaceae_28012,418,552,#d94b5e
34,34, Gemmatimonadota, Gemmatimonadaceae,11,3,#65a35d
35,35, Patescibacteria, ,47,122,#422f72
36,36, Patescibacteria, SZUA-47,8,73,#bdb452
37,37, Patescibacteria, UBA1547,0,16,#405ca1
38,38, Planctomycetota, Lacipirellulaceae,75,117,#e09c4e
39,39, Planctomycetota, Planctomycetaceae,54,61,#908cdb
40,40, Planctomycetota, Tepidisphaeraceae,44,0,#104507
41,41, Proteobacteria, ,0,47,#d694dc
42,42, Proteobacteria, Acetobacteraceae,101,32,#255719
43,43, Proteobacteria, Aestuariivirgaceae,134,82,#de7bae
44,44, Proteobacteria, Beijerinckiaceae,168,43,#697120
45,45, Proteobacteria, Burkholderiaceae_A_580492,0,16,#925ca4
46,46, Proteobacteria, Burkholderiaceae_A_592522,264,2309,#b3b667
47,47, Proteobacteria, Caulobacteraceae,72,142,#7a1e54
48,48, Proteobacteria, Cellvibrionaceae,0,14,#9f741f
49,49, Proteobacteria, Devosiaceae,85,23,#a64e85
50,50, Proteobacteria, Hyphomicrobiaceae,488,577,#c89557
51,51, Proteobacteria, Hyphomonadaceae,47,96,#89234d
52,52, Proteobacteria, Methylophilaceae,85,212,#835a1d
53,53, Proteobacteria, Phreatobacteraceae,35,0,#e7789d
54,54, Proteobacteria, Pleomorphomonadaceae,75,182,#670501
55,55, Proteobacteria, Reyranellaceae,0,13,#e07385
56,56, Proteobacteria, Rhizobiaceae_A_499470,2,72,#722211
57,57, Proteobacteria, Rhizobiaceae_A_500472,71,46,#de886a
58,58, Proteobacteria, Rhizobiaceae_A_501059,689,79,#6e142f
59,59, Proteobacteria, Rhizobiaceae_A_501186,6,11,#dc7a4f
60,60, Proteobacteria, Rhodobacteraceae,840,1697,#6d0f1a
61,61, Proteobacteria, Sphingomonadaceae,378,750,#e67676
62,62, Proteobacteria, Steroidobacteraceae,85,173,#953e15
63,63, Proteobacteria, TH1-2,2,19,#b14e71
64,64, Proteobacteria, Thiotrichaceae_608018,0,25,#9c4e34
65,65, Proteobacteria, Xanthobacteraceae_503485,4,20,#a5254b
66,66, Proteobacteria, Xanthomonadaceae_616009,50,33,#e26e5e
67,67, Verrucomicrobiota, Akkermansiaceae,598,347,#881d2a
68,68, Verrucomicrobiota, Chthoniobacteraceae,65,36,#a34656
69,69, Verrucomicrobiota, Terrimicrobiaceae,56,0,#9f312a
70,70, Verrucomicrobiota, UBA11358,13,45,#ae2d41
71,71, Verrucomicrobiota, Verrucomicrobiaceae,773,743,#a64546