Feature.ID,Church.F.28,Well.F.92
MJ030-2-barcode59-umi28442bins-ubs-23,0,14
RS-GCF-016772315.1-NZ-CP053482.1--2,0,25
KC690144,0,40
MJ030-2-barcode59-umi110313bins-ubs-3,0,10
MJ030-2-barcode59-umi69854bins-ubs-8,15,0
KR052095,29,0
G004145215,0,16
MJ034-1-barcode26-umi27120bins-ubs-4,56,0
JN104393,69,3
RS-GCF-009372195.1-NZ-CP045226.1,15,0
MJ030-2-barcode59-umi39172bins-ubs-20,0,17
MJ020-2-barcode52-umi9692bins-ubs-61,0,11
MJ030-2-barcode58-umi7381bins-ubs-53,12,0
G902826025,26,86
RS-GCF-015169395.1-NZ-CP063458.1--2,44,0
MJ031-1-barcode27-umi34715bins-ubs-5,0,17
MJ032-2-barcode72-umi80128bins-ubs-4,14,0
MJ034-2-barcode65-umi5868bins-ubs-43,12,11
G003194085,20,0
RS-GCF-006547065.1-NZ-CP041243.1,0,14
MJ032-1-barcode26-umi71196bins-ubs-3,86,277
GB-GCA-016714895.1-JADKBV010000007.1,0,10
MJ031-1-barcode27-umi29498bins-ubs-9,0,27
G000829235,681,0
MJ030-2-barcode58-umi100468bins-ubs-4,7,14
AJ227783,10,0
MJ031-1-barcode27-umi22325bins-ubs-17,17,65
MJ030-2-barcode58-umi82375bins-ubs-6,41,0
MJ030-1-barcode42-umi73038bins-ubs-6,2,17
MJ030-2-barcode59-umi50732bins-ubs-13,18,13
MJ030-2-barcode59-umi75947bins-ubs-7,8,66
MJ030-2-barcode65-umi36164bins-ubs-20,0,36
GU295972,16,0
MJ030-2-barcode58-umi102901bins-ubs-3,227,952
MJ032-2-barcode69-umi3947bins-ubs-84,19,90
MJ031-1-barcode27-umi33340bins-ubs-9,28,46
MJ030-2-barcode59-umi64995bins-ubs-10,33,0
MJ030-2-barcode58-umi74434bins-ubs-9,0,45
MJ034-1-barcode37-umi19267bins-ubs-11,273,76
MJ030-2-barcode59-umi58193bins-ubs-16,8,73
MJ020-2-barcode52-umi2252bins-ubs-219,52,63
JN399172,9,9
HM590831,4,24
RS-GCF-009711935.1-NZ-VIKX01000317.1,20,0
MJ030-2-barcode58-umi58429bins-ubs-11,16,6
MJ010-1-barcode33-umi521bins-ubs-233,40,0
MJ030-2-barcode58-umi56637bins-ubs-11,14,220
RS-GCF-902706245.1-NZ-CACSJU010000091.1,5,24
KM978076,22,0
FR714843,150,118
MJ010-2-barcode71-umi148685bins-ubs-3,17,0
MJ030-2-barcode58-umi109213bins-ubs-3,15,0
MJ030-2-barcode58-umi82120bins-ubs-6,3,9
HG008904,42,184
MJ030-2-barcode59-umi59885bins-ubs-10,2,17
MJ009-1-barcode39-umi51009bins-ubs-7,45,68
MJ032-1-barcode26-umi37798bins-ubs-9,17,119
RS-GCF-014696565.1-NZ-JACJQK010000116.1,0,90
GU295970,0,28
G001679665,2,19
G000333615,0,12
KF551166,18,17
MJ030-2-barcode58-umi92364bins-ubs-4,14,0
RS-GCF-015904235.1-NZ-JADZLT010000042.1,11,0
MJ030-2-barcode58-umi32177bins-ubs-21,55,45
AM232810,0,13
MK272785,0,11
G002280885,341,209
MJ034-1-barcode40-umi18984bins-ubs-21,45,0
MJ030-2-barcode58-umi90251bins-ubs-5,24,0
MJ034-1-barcode33-umi13084bins-ubs-25,2,8
GB-GCA-016716535.1-JADJWD010000007.1,2,17
MJ030-2-barcode58-umi51634bins-ubs-13,34,0
MK285603,10,25
KJ721000,0,43
HQ111526,0,25
MJ020-2-barcode70-umi56403bins-ubs-6,0,21
MJ030-2-barcode59-umi28470bins-ubs-24,0,10
MJ030-2-barcode59-umi68809bins-ubs-8,29,0
MJ030-2-barcode59-umi102222bins-ubs-5,0,18
MJ030-2-barcode58-umi75730bins-ubs-7,192,46
MJ020-1-barcode45-umi78741bins-ubs-5,18,66
KY117472,15,10
MH633716,81,0
MJ030-2-barcode58-umi75598bins-ubs-7,21,9
MJ033-1-barcode37-umi14284bins-ubs-19,201,0
MJ030-2-barcode58-umi79910bins-ubs-6,44,45
MJ030-2-barcode59-umi108848bins-ubs-4,46,0
MJ030-2-barcode58-umi75999bins-ubs-7,5,5
RS-GCF-004959785.1-NZ-SJZH01000033.1,122,5
RS-GCF-017813355.1-NZ-JAGIYZ010000050.1,55,0
EF532793,0,20
GB-GCA-013823625.1-PNMM01000001.1,61,0
MJ030-1-barcode42-umi68624bins-ubs-6,134,0
MJ031-1-barcode27-umi34972bins-ubs-5,29,0
AB369258,15,0
MJ034-1-barcode38-umi15628bins-ubs-18,0,28
AB297501,0,26
GB-GCA-018006385.1-JAGMYM010000089.1,0,16
MJ031-1-barcode27-umi37887bins-ubs-4,0,11
MJ034-1-barcode40-umi23686bins-ubs-7,5,20
MJ032-1-barcode26-umi33221bins-ubs-11,0,14
GB-GCA-004299445.1-SCTC01000039.1,0,10
RS-GCF-014697105.1-NZ-JACJRF010000105.1,24,0
MJ030-1-barcode42-umi4456bins-ubs-68,0,21
GB-GCA-000500915.1-AYNO01000221.1,137,541
LC153750,0,182
MJ032-1-barcode26-umi57439bins-ubs-5,19,4
RS-GCF-001426825.1-NZ-LMFM01000005.1,9,23
KX390668,2,31
MJ032-1-barcode26-umi13282bins-ubs-32,142,6
MJ030-2-barcode58-umi24937bins-ubs-26,16,0
G000284295,2,16
AJ227759,0,11
MJ030-2-barcode59-umi16014bins-ubs-36,47,122
MH091546,0,14
MJ032-1-barcode26-umi59448bins-ubs-4,0,12
MJ030-2-barcode58-umi85685bins-ubs-5,148,0
KY363638,26,31
MJ020-2-barcode52-umi82100bins-ubs-4,44,0
MJ031-1-barcode42-umi38679bins-ubs-3,0,10
LC094486,0,50
MJ010-2-barcode71-umi92001bins-ubs-5,11,0
MJ031-1-barcode27-umi39688bins-ubs-3,12,0
MJ032-1-barcode26-umi28394bins-ubs-14,11,0
MJ020-1-barcode34-umi1783bins-ubs-137,0,105
GB-GCA-016713335.1-JADJPH010000037.1,0,17
G002198675,86,183
MJ030-2-barcode58-umi60761bins-ubs-10,15,13
RS-GCF-002368195.1-NZ-AP018178.1,62,164
G004296775,14739,8596
MJ030-1-barcode25-umi17163bins-ubs-27,0,134
MK693145,10,0
JX843738,98,230
RS-GCF-001556635.1-NZ-LSJF01000595.1,7,27
KX456191,18,0
HQ392507,38,0
MJ030-1-barcode25-umi18764bins-ubs-25,0,47
MJ032-1-barcode26-umi38346bins-ubs-10,39,179
RS-GCF-012583295.1-NZ-VIRO01000139.1,31,18
MJ032-1-barcode26-umi60254bins-ubs-4,189,0
LN832063,671,62
AJ879783,0,16
MJ030-2-barcode58-umi53282bins-ubs-13,6,75
MJ030-2-barcode58-umi42066bins-ubs-22,2,15
MJ030-2-barcode58-umi19344bins-ubs-33,8,3
HE573746,24,2
MJ030-2-barcode58-umi57852bins-ubs-10,11,0
MJ007-2-barcode68-umi1820bins-ubs-263,0,17
MK209068,20,48
MJ030-2-barcode58-umi105534bins-ubs-3,43,0
RS-GCF-900103325.1-NZ-FMXM01000107.1,0,45
AB899817,0,17
KX263320,20,13
MJ030-2-barcode59-umi53923bins-ubs-12,0,87
MJ030-2-barcode58-umi55135bins-ubs-11,13,23
MJ030-2-barcode59-umi24098bins-ubs-26,11,8
MJ031-2-barcode58-umi467bins-ubs-506,0,76
JQ608324,9,28
G000695095,11,3
MJ030-2-barcode58-umi111364bins-ubs-3,0,13
GB-GCA-016712445.1-JADJRB010000001.1,26,37
MJ034-1-barcode33-umi11315bins-ubs-32,16,8
MJ007-2-barcode68-umi11127bins-ubs-32,14,0
KJ647399,20,6
MJ030-2-barcode59-umi76314bins-ubs-7,0,16
AY559428,76,42
MJ030-2-barcode59-umi99622bins-ubs-4,21,29
MJ031-1-barcode30-umi4885bins-ubs-90,13,85
G000160775,2,23
MJ030-2-barcode59-umi106076bins-ubs-3,0,18
MJ032-2-barcode69-umi49925bins-ubs-11,0,18
MJ030-2-barcode59-umi54080bins-ubs-11,3,19
MJ020-2-barcode70-umi18336bins-ubs-31,15,12
MJ030-2-barcode59-umi27748bins-ubs-22,9,150
MJ030-2-barcode50-umi43457bins-ubs-15,85,1017
MH032761,35,0
MJ031-1-barcode30-umi16295bins-ubs-28,11,0
MJ031-2-barcode67-umi30463bins-ubs-16,1,45
G000734895,27,17
MG209703,64,0
MJ034-1-barcode25-umi17353bins-ubs-17,23,5
MJ030-2-barcode59-umi10920bins-ubs-46,0,31
MJ010-1-barcode25-umi117011bins-ubs-5,12,0
MJ030-2-barcode58-umi108896bins-ubs-3,12,0
KC222641,57,4
MJ030-2-barcode58-umi76956bins-ubs-7,0,29
MF543060,52,5
G001567185,3,13
MJ032-1-barcode26-umi15233bins-ubs-30,0,10
MJ030-2-barcode58-umi100027bins-ubs-4,23,21
MJ030-2-barcode59-umi28123bins-ubs-25,0,17
MJ030-2-barcode58-umi103533bins-ubs-3,26,1
MJ030-2-barcode59-umi58934bins-ubs-10,9,45
MJ030-2-barcode58-umi119635bins-ubs-3,16,0
MJ030-2-barcode58-umi39254bins-ubs-18,76,54
MJ031-1-barcode30-umi34495bins-ubs-5,0,28
RS-GCF-006443685.1-NZ-VFYP01000012.1,48,25
MJ031-1-barcode27-umi13837bins-ubs-35,0,243
MJ030-1-barcode25-umi10318bins-ubs-40,0,19
GB-GCA-016794205.1-JAEUIJ010000002.1,9,39
MJ030-1-barcode25-umi46256bins-ubs-11,0,15
G000428305,19,5
KJ095109,217,54
EU857676,10,0
MJ010-2-barcode71-umi45255bins-ubs-12,0,34
MJ010-2-barcode71-umi52551bins-ubs-11,56,0
MJ034-1-barcode37-umi20902bins-ubs-10,19,24
MJ030-2-barcode58-umi65211bins-ubs-9,8,14
MJ032-1-barcode26-umi31215bins-ubs-12,0,11
KU055631,12,0
KJ528316,140,240
G003669285,54,61
MJ032-1-barcode26-umi42145bins-ubs-8,21,2
MJ030-2-barcode59-umi110411bins-ubs-3,100,10
KF056993,0,30
RS-GCF-019039055.1-NZ-JAHOPB010000001.1,0,13
MJ030-2-barcode58-umi101110bins-ubs-4,26,2
MJ031-1-barcode42-umi31577bins-ubs-7,2,9
MJ030-2-barcode58-umi113995bins-ubs-3,0,37
MJ030-1-barcode25-umi118521bins-ubs-3,0,24
MJ010-1-barcode44-umi26041bins-ubs-26,0,29
MJ030-2-barcode58-umi113852bins-ubs-3,0,12
MJ030-2-barcode59-umi41742bins-ubs-16,0,10
MJ030-2-barcode59-umi39800bins-ubs-18,0,259
MJ034-1-barcode32-umi20373bins-ubs-10,0,67
AB033327,0,80
G007753455,66,78
RS-GCF-014647815.1-NZ-BMPX01000104.1,8,7
GB-GCA-900465755.1-UBJZ01000036.1,6,11
MJ030-1-barcode42-umi118053bins-ubs-3,22,0
MJ030-2-barcode58-umi100253bins-ubs-4,16,611
HM037996,5,63
JX500274,4,20
RS-GCF-005222805.1-NZ-STGC01000003.1,5,14
MJ030-2-barcode59-umi107473bins-ubs-3,46,0
HF544321,5,50
MJ030-2-barcode58-umi89379bins-ubs-5,0,71
RS-GCF-019083995.1-NZ-JAHRCU010000048.1,11,0
AJ227784,18,0
AJ247194,9,67
MJ030-2-barcode58-umi95976bins-ubs-4,0,91
MJ030-2-barcode58-umi44348bins-ubs-17,0,73
MJ034-1-barcode37-umi930bins-ubs-398,15,0